year,location,season,species,individuals
1989,grassland,fall,dior,16
1989,grassland,fall,disp,4
1989,grassland,fall,onar,1
1989,grassland,fall,pgfv,24
1989,grassland,fall,remn,2
1989,grassland,fall,spsp,3
1989,grassland,spring,dior,15
1989,grassland,spring,disp,2
1989,grassland,spring,neal,1
1989,grassland,spring,onar,1
1989,grassland,spring,pgfv,16
1989,grassland,spring,remg,3
1989,grassland,spring,remn,1
1989,grassland,spring,spsp,3
1989,shrubland,fall,chin,1
1989,shrubland,fall,dime,58
1989,shrubland,fall,disp,6
1989,shrubland,fall,neal,1
1989,shrubland,fall,onar,5
1989,shrubland,fall,pgfv,26
1989,shrubland,fall,pmle,1
1989,shrubland,fall,remg,4
1989,shrubland,spring,chin,2
1989,shrubland,spring,dime,33
1989,shrubland,spring,dior,1
1989,shrubland,spring,disp,2
1989,shrubland,spring,neal,1
1989,shrubland,spring,onar,4
1989,shrubland,spring,pgfv,1
1990,grassland,fall,dime,2
1990,grassland,fall,dior,7
1990,grassland,fall,disp,3
1990,grassland,fall,pgfv,1
1990,grassland,spring,dior,9
1990,grassland,spring,disp,2
1990,grassland,spring,onar,2
1990,grassland,spring,pgfv,7
1990,shrubland,fall,dime,28
1990,shrubland,fall,disp,2
1990,shrubland,fall,pgfv,2
1990,shrubland,fall,pmer,1
1990,shrubland,fall,pmsp,1
1990,shrubland,spring,dime,17
1990,shrubland,spring,dior,1
1990,shrubland,spring,disp,3
1990,shrubland,spring,pgfv,3
1991,grassland,fall,dior,2
1991,grassland,fall,disp,4
1991,grassland,fall,pgfv,2
1991,grassland,fall,pmtr,2
1991,grassland,spring,dior,3
1991,grassland,spring,disp,4
1991,grassland,spring,pgfv,2
1991,grassland,spring,pmle,1
1991,shrubland,fall,dime,7
1991,shrubland,fall,neal,2
1991,shrubland,fall,pmle,1
1991,shrubland,fall,pmtr,3
1991,shrubland,fall,spsp,1
1991,shrubland,spring,dime,16
1991,shrubland,spring,disp,1
1991,shrubland,spring,nemi,2
1991,shrubland,spring,onar,2
1991,shrubland,spring,pmtr,4
1991,shrubland,spring,spsp,2
1992,grassland,fall,dior,3
1992,grassland,fall,disp,6
1992,grassland,fall,onar,4
1992,grassland,fall,pgfv,10
1992,grassland,fall,remn,2
1992,grassland,spring,dior,5
1992,grassland,spring,disp,13
1992,grassland,spring,onar,4
1992,grassland,spring,pgfv,11
1992,grassland,spring,spsp,2
1992,shrubland,fall,dime,49
1992,shrubland,fall,disp,8
1992,shrubland,fall,neal,1
1992,shrubland,fall,onar,1
1992,shrubland,fall,pgfv,15
1992,shrubland,fall,pmer,8
1992,shrubland,fall,pmle,1
1992,shrubland,spring,dime,36
1992,shrubland,spring,disp,2
1992,shrubland,spring,onar,4
1992,shrubland,spring,pgfv,2
1992,shrubland,spring,pmer,2
1992,shrubland,spring,pmsp,1
1992,shrubland,spring,remn,1
1993,grassland,fall,dior,9
1993,grassland,fall,disp,14
1993,grassland,fall,onar,2
1993,grassland,fall,pgfv,6
1993,grassland,fall,remg,1
1993,grassland,fall,remn,2
1993,grassland,fall,spsp,4
1993,grassland,spring,dior,7
1993,grassland,spring,disp,5
1993,grassland,spring,nemi,3
1993,grassland,spring,pgfv,5
1993,grassland,spring,pmtr,3
1993,grassland,spring,spsp,3
1993,shrubland,fall,chin,3
1993,shrubland,fall,dime,38
1993,shrubland,fall,disp,8
1993,shrubland,fall,neal,2
1993,shrubland,fall,nemi,2
1993,shrubland,fall,pgfv,6
1993,shrubland,fall,pmle,3
1993,shrubland,spring,dime,39
1993,shrubland,spring,disp,11
1993,shrubland,spring,onar,2
1993,shrubland,spring,pmer,2
1994,grassland,fall,dior,3
1994,grassland,fall,disp,5
1994,grassland,fall,nemi,1
1994,grassland,fall,pgfv,1
1994,grassland,spring,dior,10
1994,grassland,spring,disp,4
1994,grassland,spring,onar,2
1994,grassland,spring,pgfv,7
1994,shrubland,fall,dime,21
1994,shrubland,fall,disp,11
1994,shrubland,fall,nemi,1
1994,shrubland,fall,onar,1
1994,shrubland,fall,pgfv,1
1994,shrubland,fall,pmle,1
1994,shrubland,spring,dime,20
1994,shrubland,spring,disp,6
1994,shrubland,spring,pgfv,1
1995,grassland,fall,dime,1
1995,grassland,fall,dior,22
1995,grassland,fall,disp,19
1995,grassland,fall,nemi,1
1995,grassland,fall,onar,2
1995,grassland,fall,pgfv,15
1995,grassland,fall,pmle,1
1995,grassland,fall,remn,1
1995,grassland,fall,spsp,2
1995,grassland,spring,dior,22
1995,grassland,spring,disp,4
1995,grassland,spring,onar,1
1995,grassland,spring,pgfv,15
1995,grassland,spring,pmtr,1
1995,grassland,spring,remg,1
1995,shrubland,fall,dime,80
1995,shrubland,fall,dior,2
1995,shrubland,fall,disp,11
1995,shrubland,fall,neal,2
1995,shrubland,fall,onar,5
1995,shrubland,fall,pgfv,5
1995,shrubland,fall,pmer,13
1995,shrubland,fall,remn,2
1995,shrubland,spring,dime,75
1995,shrubland,spring,disp,8
1995,shrubland,spring,onar,2
1995,shrubland,spring,pgfv,1
1995,shrubland,spring,pmdi,2
1995,shrubland,spring,pmle,1
1996,grassland,fall,disp,3
1996,grassland,fall,pgfv,1
1996,grassland,spring,dior,9
1996,grassland,spring,disp,5
1996,grassland,spring,onar,3
1996,grassland,spring,pmle,1
1996,grassland,spring,spsp,1
1996,shrubland,fall,dime,18
1996,shrubland,fall,disp,8
1996,shrubland,spring,dime,12
1996,shrubland,spring,disp,6
1996,shrubland,spring,nemi,1
1997,grassland,fall,dior,13
1997,grassland,fall,disp,11
1997,grassland,fall,onar,5
1997,grassland,fall,pgfv,47
1997,grassland,fall,pmle,1
1997,grassland,spring,dior,14
1997,grassland,spring,disp,5
1997,grassland,spring,onar,1
1997,grassland,spring,pgfv,38
1997,grassland,spring,pmle,1
1997,shrubland,fall,dime,59
1997,shrubland,fall,dior,1
1997,shrubland,fall,disp,4
1997,shrubland,fall,nemi,2
1997,shrubland,fall,onar,4
1997,shrubland,fall,pgfv,30
1997,shrubland,fall,pmer,9
1997,shrubland,fall,pmle,2
1997,shrubland,fall,remg,2
1997,shrubland,fall,spsp,1
1997,shrubland,spring,dime,59
1997,shrubland,spring,disp,3
1997,shrubland,spring,onar,8
1997,shrubland,spring,pgfv,20
1998,grassland,fall,dior,15
1998,grassland,fall,disp,13
1998,grassland,fall,nemi,1
1998,grassland,fall,pgfv,8
1998,grassland,fall,spsp,1
1998,grassland,spring,dior,9
1998,grassland,spring,disp,4
1998,grassland,spring,pgfv,15
1998,grassland,spring,pmle,1
1998,grassland,spring,spsp,1
1998,shrubland,fall,dime,25
1998,shrubland,fall,dior,1
1998,shrubland,fall,disp,5
1998,shrubland,fall,neal,1
1998,shrubland,fall,nemi,1
1998,shrubland,fall,onar,7
1998,shrubland,fall,pgfv,5
1998,shrubland,fall,pmer,4
1998,shrubland,fall,spsp,1
1998,shrubland,spring,dime,25
1998,shrubland,spring,disp,5
1998,shrubland,spring,nemi,1
1998,shrubland,spring,onar,1
1998,shrubland,spring,pgfv,14
1998,shrubland,spring,pmer,2
1998,shrubland,spring,pmle,1
1999,grassland,fall,dior,1
1999,grassland,fall,disp,10
1999,grassland,fall,pgfv,4
1999,grassland,fall,spsp,1
1999,grassland,spring,dior,16
1999,grassland,spring,disp,5
1999,grassland,spring,nemi,1
1999,grassland,spring,pgfv,16
1999,grassland,spring,pmtr,2
1999,grassland,spring,spsp,2
1999,shrubland,fall,dime,26
1999,shrubland,fall,dior,1
1999,shrubland,fall,disp,8
1999,shrubland,fall,onar,1
1999,shrubland,fall,pgfv,2
1999,shrubland,fall,spsp,1
1999,shrubland,spring,dime,34
1999,shrubland,spring,dior,2
1999,shrubland,spring,disp,6
1999,shrubland,spring,nemi,1
1999,shrubland,spring,onar,2
1999,shrubland,spring,pgfv,3
1999,shrubland,spring,pmer,1
1999,shrubland,spring,pmle,1
1999,shrubland,spring,pmtr,1
2000,grassland,fall,dior,5
2000,grassland,fall,disp,9
2000,grassland,fall,onar,1
2000,grassland,fall,pgfv,4
2000,grassland,fall,spsp,2
2000,grassland,spring,dior,8
2000,grassland,spring,disp,8
2000,grassland,spring,pgfv,2
2000,shrubland,fall,dime,37
2000,shrubland,fall,dior,2
2000,shrubland,fall,disp,7
2000,shrubland,fall,onar,2
2000,shrubland,fall,pgfv,3
2000,shrubland,fall,pmer,1
2000,shrubland,fall,pmle,1
2000,shrubland,fall,spsp,1
2000,shrubland,spring,dime,41
2000,shrubland,spring,dior,1
2000,shrubland,spring,disp,10
2000,shrubland,spring,nemi,1
2000,shrubland,spring,onar,2
2000,shrubland,spring,pgfv,4
2000,shrubland,spring,remg,1
2001,grassland,fall,dior,2
2001,grassland,fall,disp,5
2001,grassland,fall,pgfv,4
2001,grassland,spring,dior,3
2001,grassland,spring,disp,5
2001,grassland,spring,pgfv,8
2001,grassland,spring,spsp,1
2001,shrubland,fall,dime,12
2001,shrubland,fall,disp,6
2001,shrubland,fall,pgfv,6
2001,shrubland,spring,dime,19
2001,shrubland,spring,disp,6
2001,shrubland,spring,neal,1
2001,shrubland,spring,pgfv,2
2002,grassland,fall,dior,3
2002,grassland,fall,disp,2
2002,grassland,fall,pgfv,1
2002,grassland,spring,dior,6
2002,grassland,spring,disp,10
2002,grassland,spring,onar,2
2002,grassland,spring,pgfv,15
2002,shrubland,fall,dime,27
2002,shrubland,fall,disp,5
2002,shrubland,fall,onar,2
2002,shrubland,spring,dime,31
2002,shrubland,spring,disp,5
2002,shrubland,spring,onar,1
2002,shrubland,spring,pgfv,4
2002,shrubland,spring,pmer,1
2002,shrubland,spring,remg,1
2003,grassland,fall,dime,2
2003,grassland,fall,dior,8
2003,grassland,fall,disp,10
2003,grassland,fall,nemi,1
2003,grassland,fall,onar,2
2003,grassland,fall,pgfv,77
2003,grassland,fall,spsp,1
2003,grassland,spring,dior,13
2003,grassland,spring,disp,16
2003,grassland,spring,onar,2
2003,grassland,spring,pgfv,17
2003,shrubland,fall,chin,1
2003,shrubland,fall,dime,53
2003,shrubland,fall,dior,2
2003,shrubland,fall,disp,2
2003,shrubland,fall,nemi,1
2003,shrubland,fall,onar,10
2003,shrubland,fall,pgfv,28
2003,shrubland,fall,pmer,9
2003,shrubland,fall,pmtr,1
2003,shrubland,fall,spsp,2
2003,shrubland,spring,dime,75
2003,shrubland,spring,disp,4
2003,shrubland,spring,neal,1
2003,shrubland,spring,onar,8
2003,shrubland,spring,pgfv,8
2003,shrubland,spring,pmer,3
2003,shrubland,spring,pmle,2
2003,shrubland,spring,pmtr,6
2003,shrubland,spring,remg,4
2004,grassland,fall,disp,17
2004,grassland,fall,onar,5
2004,grassland,fall,pgfv,10
2004,grassland,spring,dior,1
2004,grassland,spring,disp,13
2004,grassland,spring,onar,1
2004,grassland,spring,pgfv,3
2004,shrubland,fall,dime,23
2004,shrubland,fall,disp,4
2004,shrubland,fall,neal,1
2004,shrubland,fall,onar,6
2004,shrubland,fall,pgfv,16
2004,shrubland,fall,pmer,4
2004,shrubland,spring,dime,11
2004,shrubland,spring,disp,2
2004,shrubland,spring,onar,3
2004,shrubland,spring,pgfv,1
2005,grassland,fall,dime,1
2005,grassland,fall,dior,1
2005,grassland,fall,disp,19
2005,grassland,fall,neal,3
2005,grassland,fall,nemi,3
2005,grassland,fall,pgfv,7
2005,grassland,fall,pmle,1
2005,grassland,spring,chin,1
2005,grassland,spring,disp,19
2005,grassland,spring,onar,1
2005,grassland,spring,pgfv,8
2005,shrubland,fall,dime,45
2005,shrubland,fall,dior,2
2005,shrubland,fall,disp,16
2005,shrubland,fall,neal,3
2005,shrubland,fall,nemi,10
2005,shrubland,fall,onar,6
2005,shrubland,fall,pgfv,22
2005,shrubland,fall,pmer,3
2005,shrubland,spring,dime,25
2005,shrubland,spring,disp,7
2005,shrubland,spring,neal,1
2005,shrubland,spring,onar,1
2005,shrubland,spring,pgfv,12
2006,grassland,fall,dior,4
2006,grassland,fall,disp,17
2006,grassland,fall,pgfv,1
2006,grassland,spring,dior,9
2006,grassland,spring,disp,22
2006,grassland,spring,nemi,1
2006,grassland,spring,onar,3
2006,grassland,spring,pgfv,6
2006,shrubland,fall,dime,26
2006,shrubland,fall,dior,1
2006,shrubland,fall,disp,10
2006,shrubland,fall,pgfv,4
2006,shrubland,fall,pmer,1
2006,shrubland,spring,dime,36
2006,shrubland,spring,dior,2
2006,shrubland,spring,disp,10
2006,shrubland,spring,nemi,1
2006,shrubland,spring,onar,2
2006,shrubland,spring,pgfv,3
2006,shrubland,spring,pmer,1
2007,grassland,fall,dior,47
2007,grassland,fall,disp,10
2007,grassland,fall,onar,8
2007,grassland,fall,pgfv,12
2007,grassland,fall,pmle,3
2007,grassland,fall,remg,1
2007,grassland,spring,dior,6
2007,grassland,spring,disp,7
2007,grassland,spring,onar,2
2007,grassland,spring,pgfv,17
2007,grassland,spring,remg,5
2007,shrubland,fall,dime,69
2007,shrubland,fall,dior,25
2007,shrubland,fall,disp,26
2007,shrubland,fall,neal,3
2007,shrubland,fall,onar,6
2007,shrubland,fall,pgfv,13
2007,shrubland,fall,pmer,9
2007,shrubland,spring,chin,1
2007,shrubland,spring,dime,64
2007,shrubland,spring,dior,9
2007,shrubland,spring,disp,17
2007,shrubland,spring,onar,6
2007,shrubland,spring,pgfv,31
2007,shrubland,spring,pmer,11
2007,shrubland,spring,remg,2
2008,grassland,fall,dior,1
2008,grassland,fall,disp,1
2008,grassland,fall,neal,1
2008,grassland,fall,pgfv,4
2008,grassland,spring,dior,36
2008,grassland,spring,disp,3
2008,grassland,spring,onar,1
2008,grassland,spring,pgfv,10
2008,grassland,spring,pmbo,2
2008,shrubland,fall,dime,21
2008,shrubland,fall,dior,3
2008,shrubland,fall,disp,13
2008,shrubland,fall,neal,1
2008,shrubland,fall,pgfv,10
2008,shrubland,fall,pmle,2
2008,shrubland,spring,dime,57
2008,shrubland,spring,dior,23
2008,shrubland,spring,disp,20
2008,shrubland,spring,pgfv,2
2008,shrubland,spring,pmer,2
2009,grassland,fall,dior,10
2009,grassland,fall,disp,1
2009,grassland,fall,pgfv,16
2009,grassland,fall,spsp,1
2009,grassland,spring,dior,7
2009,grassland,spring,disp,1
2009,grassland,spring,neal,1
2009,grassland,spring,pgfv,16
2009,grassland,spring,spsp,1
2009,shrubland,fall,dime,40
2009,shrubland,fall,dior,12
2009,shrubland,fall,disp,17
2009,shrubland,fall,onar,1
2009,shrubland,fall,pgfv,18
2009,shrubland,fall,pmer,2
2009,shrubland,fall,pmle,1
2009,shrubland,spring,dime,69
2009,shrubland,spring,dior,7
2009,shrubland,spring,disp,19
2009,shrubland,spring,neal,1
2009,shrubland,spring,pgfv,15
2009,shrubland,spring,remg,1
2010,grassland,fall,dior,1
2010,grassland,fall,disp,1
2010,grassland,fall,onar,1
2010,grassland,fall,pgfv,5
2010,grassland,fall,pmma,3
2010,grassland,fall,spsp,1
2010,grassland,spring,dior,5
2010,grassland,spring,pgfv,4
2010,grassland,spring,spsp,1
2010,shrubland,fall,dime,20
2010,shrubland,fall,disp,5
2010,shrubland,fall,pgfv,2
2010,shrubland,spring,dime,29
2010,shrubland,spring,disp,8
2010,shrubland,spring,onsp,1
2010,shrubland,spring,pgfv,8
2011,grassland,fall,dime,1
2011,grassland,fall,dior,4
2011,grassland,fall,disp,2
2011,grassland,fall,pgfv,2
2011,grassland,fall,spsp,1
2011,grassland,spring,dior,1
2011,grassland,spring,pgfv,3
2011,shrubland,fall,dime,29
2011,shrubland,fall,disp,7
2011,shrubland,fall,onle,1
2011,shrubland,spring,dime,24
2011,shrubland,spring,disp,2
2011,shrubland,spring,onle,3
2011,shrubland,spring,pgfv,1
2011,shrubland,spring,spsp,1
2012,grassland,fall,dime,1
2012,grassland,fall,dior,3
2012,grassland,fall,onar,1
2012,grassland,fall,pgfv,20
2012,grassland,spring,dime,2
2012,grassland,spring,dior,8
2012,grassland,spring,disp,1
2012,grassland,spring,onsp,1
2012,grassland,spring,pgfv,6
2012,shrubland,fall,dime,25
2012,shrubland,fall,dior,1
2012,shrubland,fall,onar,3
2012,shrubland,fall,onle,4
2012,shrubland,fall,pgfv,3
2012,shrubland,fall,spsp,1
2012,shrubland,spring,dime,38
2012,shrubland,spring,disp,7
2012,shrubland,spring,onar,3
2012,shrubland,spring,onle,2
2012,shrubland,spring,onsp,3
2012,shrubland,spring,pele,1
2012,shrubland,spring,pgfv,1
2013,grassland,spring,dime,1
2013,grassland,spring,dior,4
2013,grassland,spring,onle,2
2013,grassland,spring,pgfv,2
2013,grassland,spring,spsp,1
2013,shrubland,fall,dime,26
2013,shrubland,fall,dior,1
2013,shrubland,fall,disp,2
2013,shrubland,spring,dime,21
2013,shrubland,spring,onar,1
2013,shrubland,spring,pema,1
2014,grassland,fall,dime,1
2014,grassland,fall,dior,12
2014,grassland,fall,disp,2
2014,grassland,fall,onar,6
2014,grassland,fall,pgfv,16
2014,grassland,fall,spsp,4
2014,grassland,spring,dior,24
2014,grassland,spring,disp,1
2014,grassland,spring,onar,3
2014,grassland,spring,pema,2
2014,grassland,spring,pgfv,46
2014,grassland,spring,spsp,4
2014,shrubland,fall,dime,60
2014,shrubland,fall,dior,11
2014,shrubland,fall,disp,2
2014,shrubland,fall,onar,15
2014,shrubland,fall,peer,5
2014,shrubland,fall,pele,4
2014,shrubland,fall,pema,3
2014,shrubland,fall,pgfv,23
2014,shrubland,fall,spsp,1
2014,shrubland,spring,dime,86
2014,shrubland,spring,dior,19
2014,shrubland,spring,disp,4
2014,shrubland,spring,neal,1
2014,shrubland,spring,nemi,2
2014,shrubland,spring,onar,1
2014,shrubland,spring,peer,2
2014,shrubland,spring,pele,13
2014,shrubland,spring,pele ,1
2014,shrubland,spring,pema,2
2014,shrubland,spring,pgfv,10
2015,grassland,spring,dime,1
2015,grassland,spring,dior,11
2015,grassland,spring,disp,6
2015,grassland,spring,nemi,2
2015,grassland,spring,onar,12
2015,grassland,spring,pele,1
2015,grassland,spring,pema,1
2015,grassland,spring,spsp,4
2015,shrubland,fall,dime,38
2015,shrubland,fall,dior,10
2015,shrubland,fall,disp,6
2015,shrubland,fall,neal,1
2015,shrubland,fall,nemi,1
2015,shrubland,fall,onar,4
2015,shrubland,fall,peer,7
2015,shrubland,fall,pgfv,2
2015,shrubland,fall,spsp,2
2015,shrubland,spring,dime,32
2015,shrubland,spring,dior,6
2015,shrubland,spring,disp,1
2015,shrubland,spring,nemi,1
2015,shrubland,spring,onar,3
2015,shrubland,spring,peer,3
2015,shrubland,spring,pele,1
2015,shrubland,spring,pema,4
2016,grassland,fall,dior,3
2016,grassland,fall,disp,7
2016,grassland,fall,onar,1
2016,grassland,fall,pgfv,4
2016,grassland,spring,dior,2
2016,grassland,spring,disp,7
2016,grassland,spring,onar,3
2016,grassland,spring,pgfv,2
2016,shrubland,fall,dime,12
2016,shrubland,fall,disp,2
2016,shrubland,fall,onar,1
2016,shrubland,fall,peer,1
2016,shrubland,fall,pele,1
2016,shrubland,fall,pgfv,1
2016,shrubland,fall,spsp,1
2016,shrubland,spring,dime,28
2016,shrubland,spring,disp,4
2016,shrubland,spring,onar,3
2016,shrubland,spring,peer,1
2016,shrubland,spring,remg,1
